geoid,id,name,size,sqrtsize,city,state,owner,opdate,developer,status1,utility,technology,latitude,longitude,status2,isNew
1,20447,Abengoa Mojave ,250,15.8113883,Hinkley,California,Abengoa Solar Espana SA,12/31/14,Abengoa Solar Espana SA,Coming online in 2014,Pacific Gas & Electric Co,Parabolic trough,34.938985,-117.189029,Financing secured/under construction,Yes
2,11275,Abengoa Solana ,280,16.73320053,Gila Bend,Arizona,Abengoa SA,12/31/13,Abengoa SA,Coming online in 2014,Arizona Public Service Co,Parabolic trough,32.95,-112.72,Financing secured/under construction,Yes
3,1066,APS Saguaro ,1,1,Red Rock,Arizona,Arizona Public Service Co,4/6/06,Arizona Public Service Co,Commissioned,,Tower and heliostat,32.573685,-111.327269,Operational,No
4,14650,Ausra Kimberlina ,5,2.236067977,Bakersfield,California,Areva Solar Inc,10/23/08,Areva Solar Inc,Commissioned,,Fresnel,35.36697,-119.018863,Operational,No
5,35237,BrightSource Coalinga ,29,5.385164807,Coalinga,California,Chevron Technology Ventures Corp,10/3/11,BrightSource Energy Inc,Commissioned,,Tower and heliostat,36.175,-120.386,Operational,No
6,20429,BrightSource Ivanpah ,392,19.79898987,Ivanpah,California,Bechtel Group Inc ; NRG Energy Inc ; BrightSource Energy Inc,6/30/13,BrightSource Energy Inc,Coming online in 2014,Pacific Gas & Electric Co ; Southern California Edison Co,Tower and heliostat,35.557,-115.469,Financing secured/under construction,Yes
7,1,BrightSource Palen,500,22.36067977,Riverside County,California,BrightSource Energy Inc,,BrightSource Energy Inc,Announced/planning begun,PG&E Corp,Tower and heliostat,33.75,-115.2,Announced/planning begun,No
8,19430,eSolar Sierra ,5,2.236067977,Lancaster,California,eSolar Inc,8/5/09,eSolar Inc,Commissioned,Southern California Edison Co,Tower and heliostat,34.698905,-118.144779,Operational,No
9,13266,FPL Martin Next Generation Solar Energy Center ,75,8.660254038,Martin,Florida,Florida Power & Light Co,3/5/11,Florida Power & Light Co,Commissioned,Florida Power & Light Co,Parabolic trough,27.110165,-80.482944,Operational,No
10,20584,Genesis Solar Blythe ,250,15.8113883,Blythe,California,Genesis Solar LLC,6/30/13,NextEra Energy Resources LLC,Coming online in 2014,Pacific Gas & Electric Co ; Southern California Edison Co,Parabolic trough,33.61,-115.06,Financing secured/under construction,Yes
